category,rank,code,name,index_tag,score,annual_return,annual_return_1y,annual_return_3y,annual_volatility,sharpe,max_drawdown,calmar,avg_turnover,days,years,start_date,end_date
大宗商品,4,sz.159518,嘉实标普石油天然气勘探及生产精选行业ETF(QDII),石油天然气,0.5363203087912534,0.022649349437762423,0.14571746384872086,,0.3711289894207977,0.007138621647145183,-0.38940285954583687,0.05816431205507455,1894973143.4120333,629,2.5,2023-11-15,2026-06-26
大宗商品,5,sh.510170,国联安上证商品ETF,国联安上证商品ETF,0.5021348213881668,0.04777117805006781,0.5300668151447663,0.18200995839564027,0.28391944857417234,0.0978135812447267,-0.6355685131195336,0.07516290858336357,23563590.133333333,3702,14.69,2011-01-25,2026-06-26
大宗商品,6,sz.159985,华夏饲料豆粕期货ETF,豆粕,0.4800969399449848,0.1194735437749801,0.013636363636363669,0.03926576055743336,0.1950613862795619,0.5099602011051775,-0.26602023608768965,0.44911449419057503,301783088.82141674,1587,6.3,2019-12-05,2026-06-26
股票-增长,1,sz.159388,国泰创业板人工智能ETF,创业板AI,0.7149568420903023,2.132941435910543,2.044334975369458,,0.4270955310348458,4.947233774118214,-0.14713750668806844,14.496245613515658,151755979.10248333,296,1.17,2025-04-07,2026-06-26
股票-增长,2,sz.159915,易方达创业板ETF,创业板,0.6525882706576617,0.1263337295411966,1.066176470588235,0.24484528647360326,0.33145096143558755,0.3208128559369436,-0.695778364116095,0.18157179937851162,5203981507.856983,3528,14.0,2011-12-09,2026-06-26
股票-增长,3,sh.513310,华泰柏瑞中证韩交所中韩半导体ETF(QDII),中韩半导体,0.6369275536855387,0.7512368236587286,3.0743073047858935,0.8292641836196764,0.36307260020125803,2.014023705598798,-0.226789510985117,3.3124848693202056,8815431897.733334,847,3.36,2022-12-22,2026-06-26
股票-增长,4,sh.512480,国联安半导体ETF,半导体,0.631997649489063,0.2836992368856719,1.7552657973921764,0.45871952568461594,0.37284433674627093,0.7072636242430718,-0.6249188838416613,0.453977698900125,1741280954.6166666,1706,6.77,2019-06-12,2026-06-26
股票-增长,5,sz.159558,易方达中证半导体材料设备主题ETF,半导体材料设备,0.6296315731893709,1.0792908996613124,2.615518744551003,,0.40643805832050467,2.6062788116805438,-0.2505091649694501,4.308388875883776,718896678.1933999,490,1.94,2024-06-18,2026-06-26
股票-增长,6,sz.159583,富国中证通信设备主题ETF,通信设备,0.6286096652807017,1.120380422081534,2.5580786026200872,,0.4123157126071587,2.668781199541482,-0.27334337349397597,4.0988022053010384,422305906.8132166,475,1.88,2024-07-08,2026-06-26
股票-增长,7,sh.513050,易方达中证海外中国互联网50(QDII-ETF),易方达中证海外中国互联网50(QDII-ETF),0.6089464930945427,-0.004126499716521681,-0.3273766976411723,-0.022988927254358638,0.289613853652527,-0.08330575147647522,-0.6824902723735409,-0.006046239607446249,2114199924.5833333,2288,9.08,2017-01-18,2026-06-26
股票-增长,8,sz.159140,易方达中证科创创业人工智能ETF,人工智能,0.605003445371836,1.4270516193608147,1.4270516193608147,,0.41065187009005744,3.426385514942969,-0.15963606286186935,8.939406258068521,78363713.46983333,123,0.49,2025-12-18,2026-06-26
股票-增长,9,sh.512760,国泰CES芯片ETF,芯片,0.604464248620969,0.29185828203540587,1.6533575317604354,0.4247611713424597,0.3689807501315778,0.7367817479325459,-0.6222980659840728,0.4690007859398935,509435201.8666667,1706,6.77,2019-06-12,2026-06-26
